ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
1909	to set (of heavenly bodies)	—	to die, pass away	New	IG	Polysemy	Tigrinya	tigr1271	ʕaräbä	 ''to set (sun)'' 	''to disappear, vanish, to lose cattle due to illness: to be lost, to perish'' 	 	 KT 1847: meaning А is present in other Semitic languages too.	 MB
1910	to gnaw	→	to carp, find faults	New	IG	Polysemy	Russian	russ1263	gryzt'	 'to gnaw' 	'to nag' 	 	 	 IG
1911	sharp	→	good shooter	New	IG	Polysemy	Farsi	fars1255	тиз	 'sharp, pungent' 	'sharp-sighted, vigilant' 	 	 ПРС 230.	 IG
1912	armpit	→	corner	New	IG	Polysemy	Gagauz	gaga1249	koltuk	 'armpits' 	'corner, edge, nook' 	 	 ГРМС 277.	 IG
1913	armpit	→	gulf	New	IG	Polysemy	Gagauz	gaga1249	koltuk	 'armpits' 	'gulf, bay' 	 	 ГРМС 277.	 IG
1914	empty	→	stupid	New	IG	Polysemy	Gagauz	gaga1249	kof	 'empty, hollow' 	'stupid, ignorant' 	 	 ГРМС 284.	 IG
1915	bridge	→	clavicle	Suspended	IG	Polysemy	Gagauz	gaga1249	köprü	 'bridge' 	'collar bone' 	 	 ГРМС 287. (with a diminutive suffix).	 IG
1916	ear	→	gills	New	IG	Polysemy	Gagauz	gaga1249	kulak	 'ear' 	'gills' 	 	 ГРМС 293.	 IG
1917	belt	→	rainbow	New	IG	Polysemy	Romanian	oma1329 	brâu	 'belt' 	'rainbow' 	 	 DRRS 1, 271. In DEX98 and NODEX the meaning of 'rainbow' has not been registered. In Seche 2002 it s registered only in the form of popular names for the rainbow brâul-cerului, brâul-Cosânzenei, brâul-lui-Dumnezeu, brâul-Maicii-Domnului, brâul-popii	 MR
1918	spade, shovel	→	shoulder-blade, scapula	Accepted	IG	Polysemy	Sanskrit	sans1269	sphyá-	 'Feldspatel' 	'shoulder blade' 	 	 ЭСИЯ 3, 51	 MR
1919	to shear	→	to deceive	New	IG	Polysemy	Icelandic	icel1247	rýja	 'to clip' 	'to rob' 	 	 Берков	 MR
1920	monkey	→	ugly, unpleasant	Accepted	IG	Polysemy	Udmurt	udmu1245	абда, абдан	 'monkey, ape' 	'ugly creature, ugliness: ugly, miserable' 	 	 УдмРС 23	 MR
1921	to intend	—	to hope	New	IG	Polysemy	Gagauz	gaga1249	neetlen-	 'to intend' 	'to hope' 	 	 ГРМС 342.	 IG
1922	clean (adj.)	→	honest	Accepted	IG	Polysemy	Swahili	swah1253	udhu	 'ablution before prayers, cleannes, tidyness' 	'cleannes' 	 	 Polikanov.	 MR
1923	to clean	→	to deceive	New	IG	Polysemy	Gagauz	gaga1249	pakla-	 'to clean' 	'to deceive' 	 	 ГРМС 359.	 IG
1924	to clean	→	to steal	Accepted	IG	Derivation	Russian	russ1263	čistit'	 'to clean, to brush'  		 	 	 IG
1925	simple	→	stupid	New	IG	Derivation	Russian	russ1263	prostoj	 'simple'  		 	 	 IG
1926	stupid	—	bad	New	IG	Borrowing	Gagauz	gaga1249	prost	 'fool, silly'   Gagauz 		 	 Такой ли тип связи?	 IG
1927	spirit	—	smell	New	IG	Derivation	Russian	russ1263	duh	 'spirit'  		 	 	 IG
1928	tribe	→	kind (n.)	New	IG	Polysemy	Russian	russ1263	rod	 'kindred, clan' 	'kind' 	 	 калька? (тм)	 IG
1929	to cool down (intr.)	→	to die, pass away	New	IG	Polysemy	Gagauz	gaga1249	suul-	 'to cool, to get cold' 	'to die' 	 	 ГРМС 441.	 IG
1930	spring, fountain	→	beginning	Accepted	IG	Polysemy	Mandarin Chinese	mand1415	yuán	 'source, spring, fountain' 	'beginning, origin' 	 	 БКРС 14331	 MR
1931	narrow, close	→	greedy	Accepted	IG	Polysemy	Gagauz	gaga1249	sıkı	 'narrow, tight' 	'stingy, mean' 	 	 ГРМС 450.	 IG
1932	to defecate	→	to waste	New	IG	Polysemy	Gagauz	gaga1249	sıç-	 'to defecate, to relieve oneself' 	'to waste (food, money)' 	 	 ГРМС 454.	 IG
1933	hard, solid	—	firm, solid	New	TM	Polysemy	Tabassaran	taba1259	ligim	 'hard' 	'robust, solid (principal meaning)' 	 	 (TabRus 217)	 TM
1934	mangy, scabby	→	bad	New	TM	Polysemy	Tabassaran	taba1259	kečel	 'scald: a scabbed person' 	'buster' 	 	 (TabRus 193)	 TM
1935	brick (n.)	→	diamonds (in cards)	New	TM	Polysemy	Tabassaran	taba1259	kirpič	 'brick' 	'diamonds (cards)' 	 	 (TabRus 194)	 TM
1936	to mill	→	to speak	New	TM	Polysemy	Tabassaran	taba1259	kːärä(b)qːüb	 'to grind at the mill skipping the queue' 	'to twaddle (fig.)' 	 	 (TabRus 200)	 TM
1937	to mill	→	to eat	New	TM	Polysemy	Tabassaran	taba1259	kːärä(b)qːüb	 'to grind at the mill skipping the queue' 	'to shovel down food, to eat (fig.)' 	 	 (TabRus 200)	 TM
1938	to touch	→	to hit the target	New	TM	Polysemy	Tabassaran	taba1259	kub(r)k’ub	 'to touch, to brush against' 	'to hit the target' 	 	 (TabRus 203)	 TM
1939	to enter	→	to become infected	New	TM	Polysemy	Tabassaran	taba1259	ku(b)č’ʷub	 'to enter, to edge in' 	'to catch an illness (fig.)' 	 	 (TabRus 203)	 TM
1940	plait, braid	—	mane	New	TM	Polysemy	Tabassaran	taba1259	kuš	 'braid' 	'mane' 	 	 (TabRus 204)	 TM
1941	branch, twig	→	trouser-leg	Accepted	TM	Polysemy	Tabassaran	taba1259	kül	 'tree branch' 	'trouser leg' 	 	 (TabRus 204). Cf. also Agul kul 'branch' and 'trouser leg'.	 TM
1942	to cackle, to cluck	→	to speak	New	TM	Polysemy	Tabassaran	taba1259	qːaqːra	 'cackle' 	'twaddle (fig.)' 	 	 (TabRus 205)	 TM
1943	to bite	→	part	New	TM	Derivation	Russian	russ1263	kusat'	 'to bite'  		 	 (Ushakov)	 TM
1944	knot	→	bud (on a twig)	New	TM	Polysemy	Tabassaran	taba1259	q’ürq’	 'knot' 	'bud' 	 	 (TabRus 211)	 TM
1945	bud (on a twig)	→	kidney	New	TM	Polysemy	Russian	russ1263	počka	 'bud' 	'kidney' 	 	 (Uskakov) Dal' lists B as the first meaning.	 TM
1946	middle	—	back (body part)	New	TM	Polysemy	Tabassaran	taba1259	q’äl	 'middle' 	'back' 	 	 (TabRus 211)	 TM
1947	curved	—	squint-eyed	Accepted	TM	Polysemy	Tabassaran	taba1259	čap	 'slanting, downward' 	'squint (eyes)' 	 	 (TabRus 335)	 TM
1948	squint-eyed	—	hare (Lepus)	New	TM	Polysemy	Russian	russ1263	kosoj	 'cтрадающий косоглазием' 	'hare' 	 	 (Ushakov)	 TM
1949	face	→	mountain slope	New	TM	Polysemy	Tabassaran	taba1259	maš	 'face' 	'slope' 	 	 (TabRus 225)	 TM
1950	brain (cerebrum)	→	mind (n.)	Accepted	TM	Polysemy	Erzya	erzy1239	удем	 'brain' 	'intelligence' 	 	 ЭрзРС 690	 MR
1951	mosquito, gnat	—	fly (n.)	New	TM	Polysemy	Tabassaran	taba1259	mizmiz	 'mosquito' 	'fly (dialect)' 	 	 (TabRus 229)	 TM
1952	dead body	→	bad (ethically)	New	TM	Polysemy	Tabassaran	taba1259	murdal	 'putrescence: dead' 	'rascal' 	 	 (TabRus 234)	 TM
1953	oak	—	acorn	New	TM	Polysemy	Tabassaran	taba1259	mäqʷ	 'oak' 	'acorn' 	 	 (TabRus 239)	 TM
1954	oak	→	to tan (hides)	New	TM	Derivation	Russian	russ1263	dub	 'oak'  		 	" Dal' writes: ""To tan smth means to soak it in the oak root infusion (leather), for dressing or to protect it from rot (canvas, nets, tackle)""."	 TM
1955	nostril	—	finger-ring	New	TM	Polysemy	Tabassaran	taba1259	pːul	 'nostril' 	'ring (except jewellery)' 	 	 (TabRus 253)	 TM
1956	awl	—	dinner fork	New	TM	Polysemy	Tabassaran	taba1259	rib	 'awl' 	'fork (dialect)' 	 	 (TabRus 260). In Lezgian, there is only meaning А.	 TM
1957	earth	—	dust	New	TM	Polysemy	Tabassaran	taba1259	rug	 'earth, soil' 	'dust, rubbish' 	 	 (TabRus 262). Cf. a complex verb руг-руг апIуб (with the light verb 'to do') 'to break in pieces'. The same in Lezgian (LezgRus 280).	 TM
1958	otter (Lutra lutra)	—	seal (animal)	New	TM	Polysemy	Tabassaran	taba1259	sagaw	 'otter' 	'sea calf (dialect)' 	 	 (TabRus 266)	 TM
1959	soldier	→	Jack (playing card)	New	TM	Polysemy	Tabassaran	taba1259	saldat	 'soldier' 	'knave, jack' 	 	 (TabRus 269)	 TM
1961	turnip (Brassica rapa var. rapa)	—	black radish - ???	New	TM	Polysemy	Tabassaran	taba1259	turf	 'turnip' 	'radish' 	 	 (TabRus 283)	 TM
1962	brand, stamp	—	spot, stain	New	TM	Polysemy	Tabassaran	taba1259	t’aʁma	 'earmark, brand' 	'spot, stain' 	 	 (TabRus 286)	 TM
1963	boredom	—	laziness	New	TM	Polysemy	Tabassaran	taba1259	t’aʁruwal	 'boredom' 	'laziness (fig.)' 	 	 (TabRus 286)	 TM
1964	to spring, jump	→	grasshopper (Tettigonioidea)	New	TM	Derivation	English	stan1293	to hop	 'to jump, to hop' → 		 	 The word hopper means also hopping insects (grasshopper, locust etc.).	 TM
1965	to get dry	—	to disappear	New	TM	Polysemy	Tabassaran	taba1259	ubqːub // u'rqːub	 'to dry up, to wither' 	'to disappear, to run short' 	 	 (TabRus 290)	 TM
1966	to go out	→	abscess	Suspended	TM	Polysemy	Tabassaran	taba1259	udubč’ʷub // uduč’ʷub	 'to go out' 	'to swell, to vesicate' 	 	" (TabRus 293). In the second case it is an impersonal phrase of the type ""в горле вышло (it came out in the throat)"", ""в пальце вышло (it came out in the finger)""."	 TM
1967	to pass by	→	to pass (of time)	Accepted	TM	Polysemy	Amharic	amha1245	alläfä	 'to pass' 	'to expire (time)' 	 	 (K 1113).	 LLA 580)
1968	to flow	→	to pass (of time)	Accepted	TM	Polysemy	Italian	ital1282	fluire	 'to flow' 	'to pass by (time)' 	 	 Also the Fr. Fuir	 MR
1969	step (of a staircase, step-ladder)	→	stairs	New	TM	Derivation	Tabassaran	taba1259	umbar	 'step'  		 	 (TabRus 298)	 TM
1970	crown (n.)	→	top/crown (of a tree)	New	TM	Polysemy	German	stan1295	Krone	 'crown' 	'tree head' 	 	 Cf. the English crown, Icelandic króna with the same type of polysemy. In Russian КРОНА ('top of a tree') has been borrowed/calqued from German.	 TM
1971	top/crown (of a tree)	—	umbrella	New	TM	Polysemy	Tabassaran	taba1259	četir	 'tree head' 	'umbrella' 	 	 (TabRus 337)	 TM
1972	overcoat	→	fool	New	TM	Polysemy	Tabassaran	taba1259	čuχa	 'undertunic (a shirt made of home made woolen cloth)' 	'milk toast' 	 	 (TabRus 339)	 TM
1973	to stick (to a surface), to adhere	→	to bother, pester	New	TM	Polysemy	Tabassaran	taba1259	šq’aq’	 'resin, tar' 	'obtrusive person' 	 	 (TabRus 351)	 TM
1974	friend	—	spouse	New	TM	Cognates	Russian	russ1263	drug	 'friend'  — Church Slavonic 	friend	 	 Cf. also the Ukr. дружина („wife”, „husband” (archaic, poetic.), одружуватися (“get married”): Bel. Дружына „wife” (from G. Yavorskaya's and G. Zimovets' materials).	 TM
1975	to think	—	to care for, look after	New	TM	Polysemy	Geez	geez1241	ḫallaya	 'to think, to meditate, to consider, to reflect, to turn in one's mind' 	'to care for, to take care of' 	 	 (LLA 577-578)	 MB
1976	to do	→	to deliver (a child)	Suspended	TM	Syncretism	Archi	arch1244	as	 'to do, to make' 	'to come into being' 	 	 ###Арчинско-русский словарь, с. 18.	 TM
1977	oar	→	to row (with oars)	New	TM	Derivation	Portuguese	port1283	remo	 'paddle' → 		 	 (Majsak, Rakhilina 2007)	 TM
1978	to row (with oars)	→	to fly	New	TM	Polysemy	Portuguese	port1283	remar	   		 	 Majsak 2007	 TM
1979	sail (n.)	→	to sail	Accepted	TM	Derivation	English	stan1293	sail	 'sail' → 		 	" The same Germanic root meaning ""sail"" gave the German segeln, Dutch zeilen, Swedish segla, Danish sejler, French cingler and Portuguese singrar (Majsak, Rakhilina 2007)."	 TM
1980	ship, vessel	→	to sail	Suspended	TM	Polysemy	Latin	lati1261	navis	 'boat' 	'to go by boat' 	 	 Presumably it goes back to the combination of words navis ‛ship’ and agere ‛to put into action, to guide’. In a number of modern languages, the verbs going back to navigare can be used as transitives meaning ‛to drive a vehicle’ — not necessarilt a ship/boat, cf. to navigate a ship, to navigate a plane etc. (Majsak, Rakhilina 2007).	 TM
1981	sea	→	to sail	New	TM	Derivation	Indonesian	indo1316	laut	 'sea' → 		 	 Cf. mendanau ‛to sail on the lake’ (< danau ‛lake’), menyelat ‛to sail on the gulf’ (< selat ‛gulf’) (Majsak, Rakhilina 2007).	 TM
1982	hunt (n.), hunting	↔	wild beast	Accepted	TM	Polysemy	Turkish	nucl1301	av	 'hunt and fishing' 	'game' 	 	 ТуРС 76.	 IG
1983	to get tired	→	to grow numb	New	TM	Polysemy	Lak	lakk1252	awč'in	 'to be tired' 	'to get numb (body parts)' 	 	 (Khajdakov 1962: 27). Cf. also БАВЧIАН with the same meanings (p. 47).	 TM
1984	quick	→	urgent	New	TM	Polysemy	Russian	russ1263	spešnyj	 'fast, immediately, urgent' 	'urgent' 	 	 (Ushakov)	 TM
1985	silver	→	money	Accepted	TM	Polysemy	French	stan1290	argent	 'silver' 	'money' 	 	 	 TM
1986	greasy	→	fertile (soil)	Accepted	TM	Polysemy	Russian	russ1263	tučnyj	 'fat, well fed' 	'fertile (soil)' 	 	 From тук 'fat'	 MR
1987	amazing	—	strange	New	TM	Polysemy	Lak	lakk1252	älamatsːa	 'amazing' 	'queer, strange' 	 	 (Khajdakov 1962: 42). An Arabic loan.	 TM
1988	closed	→	strong (of liquid or smell)	New	TM	Polysemy	Lak	lakk1252	äntsːa	 'locked' 	'strong, rich' 	 	 (Khajdakov 1962: 43)	 TM
1989	closed	→	cloudy	New	TM	Polysemy	Lak	lakk1252	bawšːusːa	 'closed tightly, walled up' 	'nurky' 	 	 (Khajdakov 1962: 47)	 TM
1990	patch	—	spot, stain	New	MB	Derivation	Arabic	stan1318	ruḳʕat-	 'patch'  		 	 BK I 908-909	 MB
1991	word	—	affair	Accepted	MB	Polysemy	Ancient Hebrew	anci1244	dābār	 'word' 	'matter: thing, something' 	 	 (HALOT 211).	 MB
1992	field	→	battle	New	MB	Polysemy	Sanskrit	sans1269	balaja	 'field' 	'battle' 	 	 Кочергина 462	 MR
1993	face	→	direction	New	MB	Polysemy	Geez	geez1241	gaṣṣ	 'face' 	'way, direction' 	 	 LLA 1208: LGz. 205	 MB
1994	face	→	front part	Accepted	MB	Polysemy	Komi	komi1267	бан	 'face' 	'front, face' 	 	 КомиРС 34	 MR
1995	dry	→	cruel	New	MB	Polysemy	Tigrinya	tigr1271	näḳ̆äṣä	 ''to become dry, to dry up'' 	''to be harsh, cruel, heartless, pitiless'' 	 	 KT 1319	 MB
1996	dry	→	bad	New	MB	Polysemy	Arabic	stan1318	ybis- yabs-, yabas-	 ''cухой'' 	'bad' 	 	 (Lane 2975)	 MB
1997	dry	→	to grow numb	New	MB	Polysemy	Arabic	stan1318	yabs-, yabas-	 ''cухой'' 	'paralyzed, petrified' 	 	 Lane 2975	 MB
1998	smooth	—	beautiful	New	MB	Polysemy	Tigrinya	tigr1271	ləməṣməṣ bälä	 ''to be soft, smooth'' 	''to look fine'' 	 	 (KT 83)	 MB
1999	smooth	—	to escape	Accepted	MB	Derivation	Arabic	stan1318	malusa	 ''to be smooth, sleek'' → 		 	 (Lane 2735)	 MB
2000	smooth	—	to move quickly	Suspended	MB	Derivation	Arabic	stan1318	malusa	 ''to be smooth, sleek''  		 	 (Lane 2735). Направление неясно.	 MB
2001	smooth	—	to flatter	New	MB	Polysemy	Ancient Hebrew	anci1244	ḥālāḳ	 'smooth' 	'flatterer' 	 	 HALAT 310	 MB
2002	rough, uneven	→	approximately	New	MB	Derivation	English	stan1293	rough	 'rough, uneven'  		 	 	 MB
2003	sharp	→	clever	Accepted	MB	Polysemy	Arabic	stan1318	ḥadīd-	 'sharp, edged or sharpened' 	'intelligent, eloquent' 	 	 (Lane 526).	 MB
2004	sharp	→	pungent (odour)	Accepted	MB	Polysemy	Burmese	nucl1310	сỳшá	 'to be sharp (e.g. knife)' 	'to be irritable, bad tempered' 	 	 Novikov et al. 1976, 164	 MR
2005	edge	—	sharp point	New	MB	Polysemy	Arabic	stan1318	ḥadd-	 'edge' 	'blade' 	 	 Lane 525: BK I 388.	 MB
2006	cover, canopy	—	to defend	New	MB	Polysemy	Akkadian	akka1240	andullu	 'canopy, cover' 	'protection' 	 	 CAD AII 114-115	 MB
2007	nose	→	angry	New	MB	Polysemy	Ancient Hebrew	anci1244	ʔap	 'nose' 	'wrath' 	 	 (HALAT 74). Derived from the expression 'his nose got heated' = 'he went angry' - e.g., Gn. 30:2: wa-yyiḥar ʔappō. Cf. Also the Arabic ʔanf- 'nose' - ʔanafat- 'contempt: anger' (Lane 117)	 MB
2008	nose	→	chief (n.)	Suspended	MB	Polysemy	Arabic	stan1318	ʔanf-	 'nose' 	'chief, master' 	 	 Lane 116	 MB
2009	egg	—	bribe	New	MB	Polysemy	Tigrinya	tigr1271	ʔənḳʷaḳʷəḥo	 ''egg, ovum'' 	''bribe'' 	 	 KT 1477	 MB
2010	to be awake	—	attentive	Accepted	MB	Polysemy	Amharic	amha1245	näḳḳa	 'to awaken, wake up' 	'to be alert, on one's guard' 	 	 (K 83: Leslau 1973: 83).	 MB
2011	to rest	→	to die, pass away	New	MB	Polysemy	Mongolian (Khalkha)	halh1238	amarli-	 'to calm down, to rest, to find peace' 	'to die' 	 	 БАМРС	 IG
2012	light (of weight)	→	frivolous	New	MB	Polysemy	Amharic	amha1245	ḳällal	 'light (in weight)' 	'frivolous, lacking in gravity (mature man)' 	 	 (K 677).	 MB
2013	light (of weight)	→	contemptible	New	MB	Derivation	Ancient Hebrew	anci1244	ḳll (hif)	 'to lighten, to make lighter' → 		 	 (HALOT 1104).	 MB
2014	heavy (of weight)	→	rich	New	MB	Polysemy	Ancient Hebrew	anci1244	kābēd	 'heavy' 	'rich' 	 	 HALAT 435	 MB
2015	hot	→	angry	Accepted	MB	Polysemy	Akkadian	akka1240	ṣarāḫu	 'to be hot' 	'angry' 	 	 (CAD S. 98)	 MB
2016	to work	—	to get tired	New	MB	Polysemy	Akkadian	akka1240	anāḫu	 'to toil, exert oneself' 	''to become tired, exhausted'' 	 	 CAD AII 101-103	 MB
2017	to see/to look at	→	to find	New	MB	Polysemy	Akkadian	akka1240	amāru	 ''to see, to behold, to look at'' 	''to find, to discover'' 	 	 CAD AII 5-11	 MB
2018	to see/to look at	→	to check, test	New	MB	Polysemy	Turkish	nucl1301	bak-	 'to look, to watch' 	'to try, to test' 	 	 ТуРС 92.	 IG
2019	to fall down	↔	to err, be wrong	New	MB	Polysemy	Geez	geez1241	səḥta	 'fall down' 	'to make a mistake, err' 	 	 (LGz.494, LLA 329-330). The meaning A is attested only marginally and is not given as a separate meaning in the dictionaries..	 MB
2020	to drop (of liquid)	—	spot, stain	New	MB	Polysemy	Arabic	stan1318	baḳḳaʕa	 'splash, sprinkle' 	'to make spotty' 	 	 Lane 235: cf. also baḳiʕa 'to be sprinkled with water':' to be motley coloured, black and white, spotty'	 MB
2022	to awaken	→	to cause	Accepted	MB	Polysemy	Italian	ital1282	svegliare	 'to wake up' 	'to waken, to excite' 	 	 	 MR
2023	to slaughter (cattle)	—	to deceive	New	MB	Polysemy	Amharic	amha1245	arrädä	 ''to cut the throat, to slaughter, butcher'' 	''to deceive, swindle' 	 	 K 1155	 MB
2024	satiated, full	→	bold, insolent	New	MB	Polysemy	Amharic	amha1245	ṭäggäbä	 'to be satiated, sated, be full (from eating)' 	'to be overbearing, arrogant, insolent, haughty' 	 	 (K 2182). The meaning B includes also 'proud'	 MB
2025	satiated, full	→	saturated (with something)	New	MB	Derivation	Russian	russ1263	sytyj	 'full, stuffed'  		 	 	 MB
2026	muddy, turbid (of water) (?)	→	to worry, be agitated	New	MB	Polysemy	Akkadian	akka1240	ešû	 ''to be blurred or dark'' 	''to be troubled, confused'' 	 	 CAD E 378	 MB
2027	equal	—	correct (adj.)	New	MB	Polysemy	Arabic	stan1318	ʕadala	 ''to act equitably, justly, or rightly'' 	''to be equal'' 	 	 Lane 1972	 MB
2028	equal	—	straight	New	MB	Polysemy	Serbo-Croatian	out1528 	ravan	 'equal' 	'straight' 	 	 In Serb., there possibly are both meanings of 'even, smooth, flat'	 DG
2029	to stand up	→	to be resurrected	New	MB	Polysemy	Geez	geez1241	tanśəʔa	 'to stand up, to rise' 	'to resurrect' 	 	 LLA 637-38	 MB
2030	cold (adj.)	—	pleasant	New	MB	Polysemy	Arabic	stan1318	bārid-	 ''cold, chill, cool'' 	''anything loved, beloved, liked, or approved'' 	 	 (Lane 185)	 MB
2031	cold (adj.)	—	slow (adj.)	New	MB	Polysemy	Tigrinya	tigr1271	zəḥul	 ''cool, cold'' 	''slow, dilatory, slow-moving'' 	 	 (KT 1961)	 MB
2032	cold (adj.)	—	motionless	New	MB	Derivation	Russian	russ1263	styt'	 'to cool, to get cold'  		 	 	 MB
2033	fine, powder-like	—	thin (of an object)	New	MB	Polysemy	Ancient Hebrew	anci1244	daḳ	 'fine, fine grained' 	'thin' 	 	 HALAT 220.The original meaning A (from PS *dḳḳ 'to crush'): the same two meanings, e.g., in Geez (LLA 1099)	 MB
2034	thin (of an object)	—	quiet (vs. loud)	New	MB	Polysemy	Ancient Hebrew	anci1244	daḳ	 'fine grained, powdery' 	'soft, low (voice)' 	 	 HALAT 220	 MB
2035	thin (of an object)	—	thin (of liquid)	Accepted	MB	Polysemy	Japanese	nucl1643	usui (薄い)	 'thin' 	'thin (tea, coffee etc.)' 	 	 EDICT.	 IG
2036	thin (of an object)	—	lean	Accepted	MB	Polysemy	Akkadian	akka1240	raḳḳu	 ''thin'' 	''thin'' 	 	 CAD R 171-172	 MB
2037	weak	→	poor	New	MB	Polysemy	Koryak	kory1246	ӈог'ыгыйӈын	 'weakness' 	'misery, poverty' 	 	 КорРС 81	 MR
2038	weak	—	lean	Accepted	MB	Polysemy	Turkish	nucl1301	zayıf	 'weak, feeble' 	'thin' 	 	 Borrowed from Arab. ḍaʕīf- 'weak' (Lane 1792)	 MR
2039	straight	—	normal	New	MB	Polysemy	Akkadian	akka1240	išaru	 ''straight'' 	''normal, regular, ordinary'' 	 	 CAD I 224-225	 MB
2040	thin (of an object)	→	delicate, subtle (person, question etc.)	Accepted	MB	Polysemy	Russian	russ1263	tonkij	 'thin' 	'fine' 	 	 	 MB
2041	thin (of an object)	—	narrow	New	MB	Polysemy	Amharic	amha1245	ḳäč̣č̣ən	 ''thin (person, voice, cloth)'' 	''narrow (ribbon, road)'' 	 	 (K 839): the same two meanings in Accadian cognate ḳatnu (CAD Q 173-175)	 MB
2042	lean	—	infertile (soil)	Accepted	MB	Polysemy	German	stan1295	mager	 'lean, meagre' 	'barren, infertile' 	 	 Also the It. magro, Fr. Maigre	 MR
2043	thick	↔	fat (adj.)(of a person)	Accepted	MB	Polysemy	Classical Arabic	stan1318	ġaluẓa 	 ''to be thick, gross'' 	''to be bulky'' 	 	 Lane 2282	 MB
2044	thick	→	dense, thick (liquid)	Accepted	MB	Polysemy	Shughni	shug1248	γāfr	 'thick, fat' 	'thick, compact' 	 	 ЭСИЯ 3, 93	 MR
2045	messenger	→	angel	Accepted	MB	Derivation	Burmese	nucl1310	тəман	 'courrier, messenger' → 		 	 Novikov et al. 1976, 228	 MR
